original	reordered
Maire Jacques	Jacques Maire
Mancier Jacques	Jacques Mancier
Marin Jacques	Jacques Marin
Mauclair Jacques	Jacques Mauclair
Monod Jacques	Jacques Monod
Morel Jacques	Jacques Morel
Plee Jacques	Jacques Plee
Provins Jacques	Jacques Provins
Rispal Jacques	Jacques Rispal
Ruisseau Jacques	Jacques Ruisseau
Sapin Jacques	Jacques Sapin
Sarthou Jacques	Jacques Sarthou
Thébault Jacques	Jacques Thébault
Thibault Jacques	Jacques Thibault
Toja Jacques	Jacques Toja
Vincey Jacques	Jacques Vincey
Marken Jane	Jane Marken
Forney Janine	Janine Forney
Lehmann Javotte	Javotte Lehmann
Bellanger Jean	Jean Bellanger
Bergé Jean	Jean Bergé
Berger Jean	Jean Berger
Bériac Jean	Jean Bériac
Bolo Jean	Jean Bolo
Bommart Jean	Jean Bommart
Brassat Jean	Jean Brassat
Brochard Jean	Jean Brochard
Bruce Jean	Jean Bruce
Brunel Jean	Jean Brunel
Chatenet Jean	Jean Chatenet
Chevrier Jean	Jean Chevrier
Chevrin Jean	Jean Chevrin
Clarieux Jean	Jean Clarieux
Cosmos Jean	Jean Cosmos
Davy Jean	Jean Davy
Delanduc Jean	Jean Delanduc
Delhaye Jean	Jean Delhaye
Deloron Jean	Jean Deloron
Doat Jean	Jean Doat
Dorcino Jean	Jean Dorcino
Fontaine Jean	Jean Fontaine
Francey Jean	Jean Francey
Frapat Jean	Jean Frapat
Garretto Jean	Jean Garretto
Gastaut Jean	Jean Gastaut
Godet Jean	Jean Godet
Grimod Jean	Jean Grimod
Jusforgues Jean	Jean Jusforgues
Lagache Jean	Jean Lagache
Lemaitre Jean	Jean Lemaitre
Leuvrais Jean	Jean Leuvrais
Luc Jean	Jean Luc
Lullien Jean	Jean Lullien
Marchat Jean	Jean Marchat
Marcillac Jean	Jean Marcillac
Marconi Jean	Jean Marconi
Mathys Jean	Jean Mathys
Mauvais Jean	Jean Mauvais
Mercure Jean	Jean Mercure
Mourière Jean	Jean Mourière
Negroni Jean	Jean Negroni
Neuberth Jean	Jean Neuberth
Nickles Jean	Jean Nickles
Ozenne Jean	Jean Ozenne
Parédès Jean	Jean Parédès
Patrick Jean	Jean Patrick
Péméja Jean	Jean Péméja
Puyberneau Jean	Jean Puyberneau
Rochefort Jean	Jean Rochefort
Rougerie Jean	Jean Rougerie
Servais Jean	Jean Servais
Tissier Jean	Jean Tissier
Topart Jean	Jean Topart
Toscane Jean	Jean Toscane
Toulout Jean	Jean Toulout
Valton Jean	Jean Valton
Volmier Jean	Jean Volmier
Wall Jean	Jean Wall
Werner Jean	Jean Werner
Boitel Jeanne	Jeanne Boitel
Dorival Jeanne	Jeanne Dorival
Hardeyn Jeanne	Jeanne Hardeyn
Raylambert Jeannine	Jeannine Raylambert
Orléans Jenny	Jenny Orléans
Nobécourt Jérôme	Jérôme Nobécourt
Charrier Jo	Jo Charrier
Darche Jocelyne	Jocelyne Darche
Noel Joe	Joe Noel
Fossier Joëlle	Joëlle Fossier
Janin Joëlle	Joëlle Janin
Creasey John	John Creasey
Artur José	José Artur
Boulva Josette	Josette Boulva
Harmina Josette	Josette Harmina
Vardier Josette	Josette Vardier
Pinson Josiane	Josiane Pinson
Strelczyk Josiane	Josiane Strelczyk
Magre Judith	Judith Magre
Arnold Julie	Julie Arnold
Carli Julie	Julie Carli
Bertau Julien	Julien Bertau
Bertheau Julien	Julien Bertheau
Guiomar Julien	Julien Guiomar
Lacroix Julien	Julien Lacroix
Degenne Juliette	Juliette Degenne
Gréco Juliette	Juliette Gréco
Jérome Juliette	Juliette Jérome
Pacley Juliette	Juliette Pacley
Chabaga Karina	Karina Chabaga
Amaizo Katy	Katy Amaizo
Badie Laurence	Laurence Badie
Leauté Laurence	Laurence Leauté
Mercier Laurence	Laurence Mercier
Weber Laurence	Laurence Weber
Baffie Laurent	Laurent Baffie
Benegui Laurent	Laurent Benegui
Malet Léo	Léo Malet
Deutsch Léon	Léon Deutsch
Peillard Léonce	Léonce Peillard
Carolles Liliane	Liliane Carolles
Gaudet Liliane	Liliane Gaudet
Godet Liliane	Liliane Godet
Sorval Liliane	Liliane Sorval
Siou Lily	Lily Siou
Méloche Line	Line Méloche
Noro Line	Line Noro
Lemercier Linette	Linette Lemercier
Livane Lisa	Lisa Livane
Lemaire Lisette	Lisette Lemaire
Brabant Loïc	Loïc Brabant
Pichon Loïc	Loïc Pichon
Bellon Loleh	Loleh Bellon
Arbessier Louis	Louis Arbessier
Chavance Louis	Louis Chavance
Ducreux Louis	Louis Ducreux
Matabon Louis	Louis Matabon
Rognoni Louis	Louis Rognoni
Roubaud Louis	Louis Roubaud
Seigner Louis	Louis Seigner
Thomas Louis	Louis Thomas
Velle Louis	Louis Velle
Conte Louise	Louise Conte
Debrackel Louise	Louise Debrackel
Sylvie Louise	Louise Sylvie
Ritz Luc	Luc Ritz
Dolene Lucie	Lucie Dolene
Barjon Lucien	Lucien Barjon
Frégis Lucien	Lucien Frégis
Guervil Lucien	Lucien Guervil
Nat Lucien	Lucien Nat
Plaissy Lucien	Lucien Plaissy
Plessis Lucien	Lucien Plessis
Raimbourg Lucien	Lucien Raimbourg
Givry Lucienne	Lucienne Givry
Legrand Lucienne	Lucienne Legrand
Lemarchand Lucienne	Lucienne Lemarchand
Letondal Lucienne	Lucienne Letondal
Troka Lucienne	Lucienne Troka
Hols Ludmilla	Ludmilla Hols
Zaréna Lydia	Lydia Zaréna
Barbulée Madeleine	Madeleine Barbulée
Clervanne Madeleine	Madeleine Clervanne
Duret Madeleine	Madeleine Duret
Lambert Madeleine	Madeleine Lambert
Ozeray Madeleine	Madeleine Ozeray
Robinson Madeleine	Madeleine Robinson
Sola Madeleine	Madeleine Sola
Sylvain Madeleine	Madeleine Sylvain
Vimes Madeleine	Madeleine Vimes
Avril Mag	Mag Avril
Simon Maïa	Maïa Simon
Ribovska Malka	Malka Ribovska
